,timestamp,building_id,meter,month,weekday,hour,site_id,primaryspaceusage,sqm,lat,lng,timezone,airTemperature,dewTemperature,seaLvlPressure,windDirection,windSpeed,meter_reading
158555,2016-01-03 03:00:00,1518,1,1,6,3,15,3,5948.0,51.53,-0.13,1,7.7,5.7,1002.5,240.0,8.2,25.0
161608,2016-01-03 04:00:00,1518,1,1,6,4,15,3,5948.0,51.53,-0.13,1,6.8,3.9,1001.5,230.0,5.7,24.75
164661,2016-01-03 05:00:00,1518,1,1,6,5,15,3,5948.0,51.53,-0.13,1,6.3,3.3,1001.0,190.0,3.6,24.75
167714,2016-01-03 06:00:00,1518,1,1,6,6,15,3,5948.0,51.53,-0.13,1,5.2,2.5,1000.0,160.0,3.1,24.75
170767,2016-01-03 07:00:00,1518,1,1,6,7,15,3,5948.0,51.53,-0.13,1,5.8,2.9,998.5,150.0,3.6,24.0
173820,2016-01-03 08:00:00,1518,1,1,6,8,15,3,5948.0,51.53,-0.13,1,6.8,4.6,997.0,150.0,4.6,24.25
176873,2016-01-03 09:00:00,1518,1,1,6,9,15,3,5948.0,51.53,-0.13,1,7.9,6.5,995.5,140.0,4.6,24.0
179926,2016-01-03 10:00:00,1518,1,1,6,10,15,3,5948.0,51.53,-0.13,1,8.9,7.8,993.5,150.0,6.2,26.25
182979,2016-01-03 11:00:00,1518,1,1,6,11,15,3,5948.0,51.53,-0.13,1,9.2,8.2,991.5,150.0,8.2,39.75
186032,2016-01-03 12:00:00,1518,1,1,6,12,15,3,5948.0,51.53,-0.13,1,9.1,8.2,989.0,140.0,9.3,45.25
189085,2016-01-03 13:00:00,1518,1,1,6,13,15,3,5948.0,51.53,-0.13,1,8.9,8.2,987.0,150.0,8.2,43.5
192138,2016-01-03 14:00:00,1518,1,1,6,14,15,3,5948.0,51.53,-0.13,1,8.9,8.3,984.5,140.0,9.3,45.5
195191,2016-01-03 15:00:00,1518,1,1,6,15,15,3,5948.0,51.53,-0.13,1,9.6,8.5,984.5,190.0,5.1,42.5
198244,2016-01-03 16:00:00,1518,1,1,6,16,15,3,5948.0,51.53,-0.13,1,9.4,8.3,984.0,190.0,4.6,44.5
201297,2016-01-03 17:00:00,1518,1,1,6,17,15,3,5948.0,51.53,-0.13,1,8.3,7.8,984.5,190.0,3.6,44.25
204350,2016-01-03 18:00:00,1518,1,1,6,18,15,3,5948.0,51.53,-0.13,1,8.2,7.6,984.0,210.0,4.6,44.75
207403,2016-01-03 19:00:00,1518,1,1,6,19,15,3,5948.0,51.53,-0.13,1,8.1,7.5,984.0,220.0,4.6,30.25
210456,2016-01-03 20:00:00,1518,1,1,6,20,15,3,5948.0,51.53,-0.13,1,7.8,7.0,984.0,190.0,3.6,27.5
213509,2016-01-03 21:00:00,1518,1,1,6,21,15,3,5948.0,51.53,-0.13,1,7.4,6.8,984.0,200.0,3.1,28.0
216562,2016-01-03 22:00:00,1518,1,1,6,22,15,3,5948.0,51.53,-0.13,1,6.6,6.1,984.0,200.0,3.6,28.5
219615,2016-01-03 23:00:00,1518,1,1,6,23,15,3,5948.0,51.53,-0.13,1,6.5,5.9,984.0,190.0,4.1,28.25
222668,2016-01-04 00:00:00,1518,1,1,0,0,15,3,5948.0,51.53,-0.13,1,6.0,5.5,984.0,180.0,4.1,31.0
225721,2016-01-04 01:00:00,1518,1,1,0,1,15,3,5948.0,51.53,-0.13,1,6.3,5.8,983.5,180.0,3.1,27.0
228774,2016-01-04 02:00:00,1518,1,1,0,2,15,3,5948.0,51.53,-0.13,1,6.6,5.9,983.5,170.0,3.6,26.75
231827,2016-01-04 03:00:00,1518,1,1,0,3,15,3,5948.0,51.53,-0.13,1,6.1,5.5,983.5,180.0,4.1,24.5
234880,2016-01-04 04:00:00,1518,1,1,0,4,15,3,5948.0,51.53,-0.13,1,6.4,5.7,983.0,180.0,4.1,24.25
237933,2016-01-04 05:00:00,1518,1,1,0,5,15,3,5948.0,51.53,-0.13,1,5.8,5.3,983.0,170.0,2.1,26.0
240986,2016-01-04 06:00:00,1518,1,1,0,6,15,3,5948.0,51.53,-0.13,1,6.4,6.0,983.0,180.0,3.6,36.75
244039,2016-01-04 07:00:00,1518,1,1,0,7,15,3,5948.0,51.53,-0.13,1,6.7,6.0,983.0,160.0,3.6,50.75
247092,2016-01-04 08:00:00,1518,1,1,0,8,15,3,5948.0,51.53,-0.13,1,7.4,6.2,982.5,180.0,4.6,60.25
250145,2016-01-04 09:00:00,1518,1,1,0,9,15,3,5948.0,51.53,-0.13,1,7.7,6.5,983.0,160.0,4.1,67.25
253198,2016-01-04 10:00:00,1518,1,1,0,10,15,3,5948.0,51.53,-0.13,1,8.9,7.4,982.5,180.0,4.6,62.75
256251,2016-01-04 11:00:00,1518,1,1,0,11,15,3,5948.0,51.53,-0.13,1,9.7,7.5,982.5,200.0,5.1,67.25
259304,2016-01-04 12:00:00,1518,1,1,0,12,15,3,5948.0,51.53,-0.13,1,9.8,7.5,982.5,200.0,5.7,73.0
262357,2016-01-04 13:00:00,1518,1,1,0,13,15,3,5948.0,51.53,-0.13,1,10.1,8.0,982.0,190.0,5.1,72.5
265410,2016-01-04 14:00:00,1518,1,1,0,14,15,3,5948.0,51.53,-0.13,1,10.4,7.4,982.0,210.0,4.6,73.5
268463,2016-01-04 15:00:00,1518,1,1,0,15,15,3,5948.0,51.53,-0.13,1,9.8,7.2,982.0,210.0,4.1,70.75
271516,2016-01-04 16:00:00,1518,1,1,0,16,15,3,5948.0,51.53,-0.13,1,9.2,7.4,982.5,190.0,3.6,69.25
274569,2016-01-04 17:00:00,1518,1,1,0,17,15,3,5948.0,51.53,-0.13,1,8.6,7.3,982.5,170.0,3.6,61.75
277622,2016-01-04 18:00:00,1518,1,1,0,18,15,3,5948.0,51.53,-0.13,1,8.2,6.7,982.5,170.0,4.1,64.75
280675,2016-01-04 19:00:00,1518,1,1,0,19,15,3,5948.0,51.53,-0.13,1,7.7,6.2,983.0,170.0,4.6,61.5
283728,2016-01-04 20:00:00,1518,1,1,0,20,15,3,5948.0,51.53,-0.13,1,7.6,6.0,983.0,170.0,4.6,56.5
286781,2016-01-04 21:00:00,1518,1,1,0,21,15,3,5948.0,51.53,-0.13,1,7.9,6.3,983.0,160.0,4.1,54.5
289834,2016-01-04 22:00:00,1518,1,1,0,22,15,3,5948.0,51.53,-0.13,1,7.2,6.2,982.5,140.0,4.1,56.0
292887,2016-01-04 23:00:00,1518,1,1,0,23,15,3,5948.0,51.53,-0.13,1,7.7,6.7,982.5,150.0,4.6,43.0
295940,2016-01-05 00:00:00,1518,1,1,1,0,15,3,5948.0,51.53,-0.13,1,7.4,6.9,982.0,150.0,4.1,33.75
298993,2016-01-05 01:00:00,1518,1,1,1,1,15,3,5948.0,51.53,-0.13,1,8.1,6.6,982.0,170.0,5.1,32.0
302046,2016-01-05 02:00:00,1518,1,1,1,2,15,3,5948.0,51.53,-0.13,1,8.2,7.3,982.0,160.0,3.6,30.75
305099,2016-01-05 03:00:00,1518,1,1,1,3,15,3,5948.0,51.53,-0.13,1,8.3,7.4,982.0,180.0,3.6,28.5
308152,2016-01-05 04:00:00,1518,1,1,1,4,15,3,5948.0,51.53,-0.13,1,6.4,5.6,982.0,150.0,2.6,28.25
311205,2016-01-05 05:00:00,1518,1,1,1,5,15,3,5948.0,51.53,-0.13,1,6.7,6.6,982.0,140.0,2.1,29.5
314258,2016-01-05 06:00:00,1518,1,1,1,6,15,3,5948.0,51.53,-0.13,1,5.7,5.5,982.0,150.0,2.6,43.5
317311,2016-01-05 07:00:00,1518,1,1,1,7,15,3,5948.0,51.53,-0.13,1,7.1,6.9,982.5,150.0,2.6,55.25
320364,2016-01-05 08:00:00,1518,1,1,1,8,15,3,5948.0,51.53,-0.13,1,6.7,6.3,983.0,160.0,2.6,59.0
323417,2016-01-05 09:00:00,1518,1,1,1,9,15,3,5948.0,51.53,-0.13,1,6.7,6.4,983.5,180.0,1.5,67.25
326470,2016-01-05 10:00:00,1518,1,1,1,10,15,3,5948.0,51.53,-0.13,1,7.4,6.8,984.0,170.0,2.1,65.75
329523,2016-01-05 11:00:00,1518,1,1,1,11,15,3,5948.0,51.53,-0.13,1,8.7,8.3,984.5,190.0,3.1,76.75
332576,2016-01-05 12:00:00,1518,1,1,1,12,15,3,5948.0,51.53,-0.13,1,9.3,7.8,984.5,220.0,4.1,79.0
335629,2016-01-05 13:00:00,1518,1,1,1,13,15,3,5948.0,51.53,-0.13,1,9.6,7.8,984.5,210.0,3.6,79.75
338682,2016-01-05 14:00:00,1518,1,1,1,14,15,3,5948.0,51.53,-0.13,1,9.3,7.5,985.0,180.0,3.1,80.0
341735,2016-01-05 15:00:00,1518,1,1,1,15,15,3,5948.0,51.53,-0.13,1,9.4,7.7,985.0,190.0,3.1,76.5
344788,2016-01-05 16:00:00,1518,1,1,1,16,15,3,5948.0,51.53,-0.13,1,9.2,7.6,986.0,160.0,2.6,71.75
347841,2016-01-05 17:00:00,1518,1,1,1,17,15,3,5948.0,51.53,-0.13,1,8.7,7.8,986.5,130.0,1.5,64.0
350894,2016-01-05 18:00:00,1518,1,1,1,18,15,3,5948.0,51.53,-0.13,1,9.0,7.8,987.0,160.0,3.1,63.5
353947,2016-01-05 19:00:00,1518,1,1,1,19,15,3,5948.0,51.53,-0.13,1,8.7,7.8,987.5,180.0,2.1,61.0
357000,2016-01-05 20:00:00,1518,1,1,1,20,15,3,5948.0,51.53,-0.13,1,8.2,7.6,988.0,210.0,3.1,57.25
360053,2016-01-05 21:00:00,1518,1,1,1,21,15,3,5948.0,51.53,-0.13,1,7.5,6.8,988.5,200.0,1.5,57.5
363106,2016-01-05 22:00:00,1518,1,1,1,22,15,3,5948.0,51.53,-0.13,1,6.9,6.4,989.5,210.0,2.1,54.25
366159,2016-01-05 23:00:00,1518,1,1,1,23,15,3,5948.0,51.53,-0.13,1,6.5,6.2,989.5,210.0,0.5,45.0
369212,2016-01-06 00:00:00,1518,1,1,2,0,15,3,5948.0,51.53,-0.13,1,6.4,6.2,990.0,110.0,1.5,49.3124
372265,2016-01-06 01:00:00,1518,1,1,2,1,15,3,5948.0,51.53,-0.13,1,6.3,6.1,990.5,110.0,1.5,63.6247
375318,2016-01-06 02:00:00,1518,1,1,2,2,15,3,5948.0,51.53,-0.13,1,6.5,6.4,991.0,300.0,0.5,63.6247
378371,2016-01-06 03:00:00,1518,1,1,2,3,15,3,5948.0,51.53,-0.13,1,6.4,6.3,991.5,0.0,0.0,63.6247
381424,2016-01-06 04:00:00,1518,1,1,2,4,15,3,5948.0,51.53,-0.13,1,6.2,6.1,992.0,110.0,1.0,63.6247
384477,2016-01-06 05:00:00,1518,1,1,2,5,15,3,5948.0,51.53,-0.13,1,5.6,5.5,992.0,70.0,1.0,63.6247
387530,2016-01-06 06:00:00,1518,1,1,2,6,15,3,5948.0,51.53,-0.13,1,5.6,5.5,993.0,350.0,1.0,63.6247
390583,2016-01-06 07:00:00,1518,1,1,2,7,15,3,5948.0,51.53,-0.13,1,4.9,4.9,993.5,330.0,2.1,63.6247
393636,2016-01-06 08:00:00,1518,1,1,2,8,15,3,5948.0,51.53,-0.13,1,5.4,5.4,994.5,320.0,1.0,63.6247
396689,2016-01-06 09:00:00,1518,1,1,2,9,15,3,5948.0,51.53,-0.13,1,5.6,5.6,995.5,310.0,2.1,63.6247
399742,2016-01-06 10:00:00,1518,1,1,2,10,15,3,5948.0,51.53,-0.13,1,5.0,5.0,996.0,310.0,2.1,63.6247
402795,2016-01-06 11:00:00,1518,1,1,2,11,15,3,5948.0,51.53,-0.13,1,5.8,5.7,997.0,330.0,2.6,63.6247
405848,2016-01-06 12:00:00,1518,1,1,2,12,15,3,5948.0,51.53,-0.13,1,6.9,6.8,996.5,310.0,1.5,63.6247
408901,2016-01-06 13:00:00,1518,1,1,2,13,15,3,5948.0,51.53,-0.13,1,7.7,7.3,996.5,310.0,1.5,63.6247
411954,2016-01-06 14:00:00,1518,1,1,2,14,15,3,5948.0,51.53,-0.13,1,7.9,6.8,996.5,40.0,1.0,63.6247
415007,2016-01-06 15:00:00,1518,1,1,2,15,15,3,5948.0,51.53,-0.13,1,8.1,6.5,996.5,160.0,1.5,63.6247
418060,2016-01-06 16:00:00,1518,1,1,2,16,15,3,5948.0,51.53,-0.13,1,7.9,6.6,997.0,180.0,2.6,63.6247
421113,2016-01-06 17:00:00,1518,1,1,2,17,15,3,5948.0,51.53,-0.13,1,7.4,6.3,997.0,170.0,2.6,63.6247
424166,2016-01-06 18:00:00,1518,1,1,2,18,15,3,5948.0,51.53,-0.13,1,7.1,6.2,996.0,160.0,2.6,63.6247
427219,2016-01-06 19:00:00,1518,1,1,2,19,15,3,5948.0,51.53,-0.13,1,6.4,5.8,995.0,130.0,3.6,63.6247
430272,2016-01-06 20:00:00,1518,1,1,2,20,15,3,5948.0,51.53,-0.13,1,5.9,5.4,994.5,140.0,3.1,63.6247
433325,2016-01-06 21:00:00,1518,1,1,2,21,15,3,5948.0,51.53,-0.13,1,5.7,5.5,994.0,140.0,3.1,63.6247
436378,2016-01-06 22:00:00,1518,1,1,2,22,15,3,5948.0,51.53,-0.13,1,5.6,5.4,993.5,130.0,4.6,63.6247
439431,2016-01-06 23:00:00,1518,1,1,2,23,15,3,5948.0,51.53,-0.13,1,5.9,5.7,992.5,120.0,4.1,63.6247
442484,2016-01-07 00:00:00,1518,1,1,3,0,15,3,5948.0,51.53,-0.13,1,6.7,6.4,991.0,130.0,4.6,63.6247
445537,2016-01-07 01:00:00,1518,1,1,3,1,15,3,5948.0,51.53,-0.13,1,7.5,6.5,989.5,140.0,5.1,63.6247
448590,2016-01-07 02:00:00,1518,1,1,3,2,15,3,5948.0,51.53,-0.13,1,8.0,7.1,988.5,140.0,4.6,63.6247
451643,2016-01-07 03:00:00,1518,1,1,3,3,15,3,5948.0,51.53,-0.13,1,8.3,6.4,986.5,140.0,6.7,63.6247
454696,2016-01-07 04:00:00,1518,1,1,3,4,15,3,5948.0,51.53,-0.13,1,7.9,6.3,984.5,150.0,8.2,63.6247
457749,2016-01-07 05:00:00,1518,1,1,3,5,15,3,5948.0,51.53,-0.13,1,7.4,6.6,984.0,150.0,8.2,63.6247
460802,2016-01-07 06:00:00,1518,1,1,3,6,15,3,5948.0,51.53,-0.13,1,7.6,7.0,982.0,150.0,6.7,63.6247
463855,2016-01-07 07:00:00,1518,1,1,3,7,15,3,5948.0,51.53,-0.13,1,7.8,7.3,981.5,140.0,6.7,63.6247
466908,2016-01-07 08:00:00,1518,1,1,3,8,15,3,5948.0,51.53,-0.13,1,8.4,8.0,980.5,160.0,4.1,63.6247
469961,2016-01-07 09:00:00,1518,1,1,3,9,15,3,5948.0,51.53,-0.13,1,9.2,8.8,980.5,220.0,2.6,63.6247
473014,2016-01-07 10:00:00,1518,1,1,3,10,15,3,5948.0,51.53,-0.13,1,10.2,10.1,981.0,240.0,5.7,63.6247
476067,2016-01-07 11:00:00,1518,1,1,3,11,15,3,5948.0,51.53,-0.13,1,9.7,8.7,981.5,260.0,8.2,63.6247
479120,2016-01-07 12:00:00,1518,1,1,3,12,15,3,5948.0,51.53,-0.13,1,8.6,6.2,984.0,280.0,10.8,63.6247
482173,2016-01-07 13:00:00,1518,1,1,3,13,15,3,5948.0,51.53,-0.13,1,7.6,3.9,987.0,280.0,9.8,63.6247
485226,2016-01-07 14:00:00,1518,1,1,3,14,15,3,5948.0,51.53,-0.13,1,7.9,1.9,989.5,290.0,10.8,63.6247
488279,2016-01-07 15:00:00,1518,1,1,3,15,15,3,5948.0,51.53,-0.13,1,7.8,1.7,991.0,270.0,7.7,63.6247
491332,2016-01-07 16:00:00,1518,1,1,3,16,15,3,5948.0,51.53,-0.13,1,7.0,1.5,992.5,270.0,6.7,63.6247
494385,2016-01-07 17:00:00,1518,1,1,3,17,15,3,5948.0,51.53,-0.13,1,5.9,1.0,993.5,260.0,7.2,63.6247
497438,2016-01-07 18:00:00,1518,1,1,3,18,15,3,5948.0,51.53,-0.13,1,5.3,0.8,994.5,260.0,5.7,63.6247
500491,2016-01-07 19:00:00,1518,1,1,3,19,15,3,5948.0,51.53,-0.13,1,5.1,0.6,996.0,260.0,7.7,63.6247
503544,2016-01-07 20:00:00,1518,1,1,3,20,15,3,5948.0,51.53,-0.13,1,4.8,0.6,997.0,250.0,6.7,63.6247
506597,2016-01-07 21:00:00,1518,1,1,3,21,15,3,5948.0,51.53,-0.13,1,4.2,0.4,998.0,260.0,5.7,63.6247
509650,2016-01-07 22:00:00,1518,1,1,3,22,15,3,5948.0,51.53,-0.13,1,4.5,0.6,999.0,230.0,6.2,63.6247
512703,2016-01-07 23:00:00,1518,1,1,3,23,15,3,5948.0,51.53,-0.13,1,3.0,0.5,999.5,230.0,3.1,63.6247
515756,2016-01-08 00:00:00,1518,1,1,4,0,15,3,5948.0,51.53,-0.13,1,3.3,0.9,1000.5,220.0,4.6,63.6247
518809,2016-01-08 01:00:00,1518,1,1,4,1,15,3,5948.0,51.53,-0.13,1,3.2,1.1,1000.5,220.0,4.6,63.6247
521862,2016-01-08 02:00:00,1518,1,1,4,2,15,3,5948.0,51.53,-0.13,1,2.6,1.0,1001.0,220.0,3.1,63.6247
524915,2016-01-08 03:00:00,1518,1,1,4,3,15,3,5948.0,51.53,-0.13,1,2.7,1.2,1001.0,200.0,3.1,63.6247
527968,2016-01-08 04:00:00,1518,1,1,4,4,15,3,5948.0,51.53,-0.13,1,1.9,0.8,1001.0,220.0,2.1,63.6247
531021,2016-01-08 05:00:00,1518,1,1,4,5,15,3,5948.0,51.53,-0.13,1,2.4,1.6,1000.5,200.0,2.1,63.6247
534074,2016-01-08 06:00:00,1518,1,1,4,6,15,3,5948.0,51.53,-0.13,1,1.6,0.9,1000.0,150.0,1.0,63.6247
537127,2016-01-08 07:00:00,1518,1,1,4,7,15,3,5948.0,51.53,-0.13,1,4.2,2.4,1000.0,190.0,5.1,63.6247
540180,2016-01-08 08:00:00,1518,1,1,4,8,15,3,5948.0,51.53,-0.13,1,4.4,2.6,1000.0,190.0,4.1,63.6247
543233,2016-01-08 09:00:00,1518,1,1,4,9,15,3,5948.0,51.53,-0.13,1,5.8,4.1,1000.0,180.0,4.1,63.6247
546286,2016-01-08 10:00:00,1518,1,1,4,10,15,3,5948.0,51.53,-0.13,1,6.7,4.8,1000.0,190.0,4.1,63.6247
549339,2016-01-08 11:00:00,1518,1,1,4,11,15,3,5948.0,51.53,-0.13,1,7.7,5.5,999.5,190.0,4.6,63.6247
552392,2016-01-08 12:00:00,1518,1,1,4,12,15,3,5948.0,51.53,-0.13,1,7.7,6.2,999.5,180.0,3.6,63.6247
555445,2016-01-08 13:00:00,1518,1,1,4,13,15,3,5948.0,51.53,-0.13,1,8.9,6.9,998.5,190.0,3.6,63.6247
558498,2016-01-08 14:00:00,1518,1,1,4,14,15,3,5948.0,51.53,-0.13,1,8.8,5.3,998.5,200.0,4.6,63.6247
561551,2016-01-08 15:00:00,1518,1,1,4,15,15,3,5948.0,51.53,-0.13,1,8.4,5.4,998.0,190.0,4.1,63.6247
564604,2016-01-08 16:00:00,1518,1,1,4,16,15,3,5948.0,51.53,-0.13,1,7.8,5.6,998.0,160.0,3.6,63.6247
567657,2016-01-08 17:00:00,1518,1,1,4,17,15,3,5948.0,51.53,-0.13,1,7.8,6.5,998.0,180.0,4.6,63.6247
570710,2016-01-08 18:00:00,1518,1,1,4,18,15,3,5948.0,51.53,-0.13,1,8.0,6.9,998.0,190.0,5.1,63.6247
573763,2016-01-08 19:00:00,1518,1,1,4,19,15,3,5948.0,51.53,-0.13,1,7.3,6.6,998.0,190.0,3.1,63.6247
576816,2016-01-08 20:00:00,1518,1,1,4,20,15,3,5948.0,51.53,-0.13,1,7.3,6.3,998.5,190.0,4.1,63.6247
579869,2016-01-08 21:00:00,1518,1,1,4,21,15,3,5948.0,51.53,-0.13,1,7.4,5.9,998.0,160.0,3.6,63.6247
582922,2016-01-08 22:00:00,1518,1,1,4,22,15,3,5948.0,51.53,-0.13,1,7.0,6.2,998.0,210.0,2.6,63.6247
585975,2016-01-08 23:00:00,1518,1,1,4,23,15,3,5948.0,51.53,-0.13,1,7.1,6.6,997.5,180.0,2.1,63.6247
